OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,Shape__Area,Shape__Length
561,28469,124.0,2.0,7481,Ocean Isle Beach,,165.753241545248,718539224.77166,397460.188245044
562,28470,293.0,7.0,13446,Shallotte,,217.908671723933,1182514664.27979,362760.617388835
563,28472,487.0,15.0,20002,Whiteville,,243.475652434757,5336860792.21823,836470.753006454
564,28478,117.0,0.0,4976,Willard,,235.128617363344,3641064446.79327,420805.470689162
565,28479,88.0,1.0,4874,Winnabow,,180.549856380796,2117768058.25922,493774.783138492
566,28480,102.0,0.0,2737,Wrightsville Beach,,372.670807453416,105606171.513519,198146.556810674
567,28501,333.0,6.0,19507,Kinston,,170.707950991952,2991635337.302,625626.15035165
568,28504,533.0,19.0,21016,Kinston,,253.616292348687,3402165916.96191,527051.926248194
569,28508,132.0,2.0,2984,Albertson,,442.359249329759,979966062.858154,216402.11543394
570,28510,16.0,0.0,1543,Arapahoe,,103.694102397926,492605022.366577,160146.449017413
571,28511,5.0,0.0,628,Atlantic,,79.6178343949045,664520864.566406,632922.312503468
572,28512,33.0,1.0,3689,Atlantic Beach,,89.4551368934671,159414908.561523,282548.210087653
573,28513,246.0,1.0,10825,Ayden,,227.251732101617,2611479123.85803,477095.460669019
574,28515,151.0,2.0,3463,Bayboro,,436.038117239388,1758589825.68518,437586.784820445
575,28516,137.0,3.0,12482,Beaufort,,109.758051594296,3384236686.76337,1001596.71803034
576,28518,236.0,3.0,8803,Beulaville,,268.090423719187,2702594658.36359,473932.945095065
577,28519,9.0,0.0,328,Bridgeton,,274.390243902439,3782179.40026855,11964.2990373982
578,28520,,,352,Cedar Island,Population <500 and Cases <5,,633116579.775757,427477.052966737
579,28521,58.0,2.0,2259,Chinquapin,,256.750774679062,984336924.154663,232445.955683395
580,28523,53.0,2.0,2274,Cove City,,233.069481090589,2247611957.06177,297516.586083844
581,28524,,,443,Davis,Population <500 and Cases <5,,547256692.822876,860357.358716607
582,28525,58.0,2.0,3309,Deep Run,,175.279540646721,1368793733.10339,260376.07892082
583,28526,40.0,0.0,2384,Dover,,167.785234899329,2062614072.29626,437910.466683838
584,28527,17.0,0.0,905,Ernul,,187.845303867403,1145978492.04919,209684.397786102
585,28528,2.0,0.0,640,Gloucester,,31.25,74196560.923584,79933.9347539672
586,28529,56.0,0.0,2539,Grantsboro,,220.559275305238,2523317524.60889,412017.089612736
587,28530,148.0,1.0,7474,Grifton,,198.019801980198,1906098626.48975,426610.065184872
588,28531,11.0,0.0,1414,Harkers Island,,77.7934936350778,96666650.4205933,159397.370996394
589,28532,278.0,3.0,25868,Havelock,,107.468687181073,5072028576.29651,874966.498361209
590,28533,18.0,0.0,0,Cherry Point,,,253735788.170532,192645.367219711
591,28537,,,186,Hobucken,Population <500 and Cases <5,,891999129.25647,352204.851723086
592,28538,90.0,0.0,3342,Hookerton,,269.299820466786,837514346.679443,167225.326393657
593,28539,206.0,2.0,18000,Hubert,,114.444444444444,2158531628.89203,965472.416809674
594,28540,700.0,8.0,52400,Jacksonville,,133.587786259542,3283488394.35052,547729.060516664
595,28542,118.0,0.0,6146,Camp Lejeune,,191.994793361536,1137151211.30426,554417.951637184
596,28543,52.0,2.0,6618,Tarawa Terrace,,78.5735871864612,101812905.851257,81799.9494086723
597,28544,72.0,2.0,5607,Midway Park,,128.410914927769,155759986.503357,92182.0384683424
598,28545,23.0,0.0,4010,Mccutcheon Field,,57.356608478803,145247654.855835,101700.276162633
599,28546,753.0,4.0,51963,Jacksonville,,144.910801916748,2766403023.01086,429757.095409677
600,28547,256.0,0.0,13868,Camp Lejeune,,184.597634842804,321351155.112183,125030.1108688
601,28551,366.0,6.0,14265,La Grange,,256.572029442692,3578620059.57935,402405.541085344
